Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
43000,0.6910169,0.85201097,68.70682,-1.3051279,4.3613843e-05,1.6847810141734954,299.0,1.8623431157320738,0.27391430363059044,107.48707437515259,7.5601025,0.07903724,0.22314058,0.92410034,1.2359334,0.41627264,0.5770599,0.0126772085
43500,0.7284185,0.9843898,65.41286,-1.3296725,4.0657298e-05,1.6758291399528389,187.0,1.6196257462725043,1.134900448222955,192.9762512842814,2.780212,0.1418547,0.15297395,0.20549348,1.3678827,0.48415577,0.5441208,0.012650911
44000,0.6384557,0.95469105,64.305145,-1.3520479,3.7575854e-05,1.4858457602240378,209.66666666666666,1.3134309719316661,0.5965958815068007,183.69534635543823,1.3392378,0.1648171,0.07847931,0.20516342,1.2986934,0.45356798,0.5411769,0.012675063
44500,0.8846761,1.0153328,65.02835,-1.3778535,3.4595254e-05,1.6677865542005748,137.0,1.7085087716113776,0.2126789316534996,85.37596762180328,1.874969,0.215576,0.09041159,0.2171244,1.3128111,0.44859198,0.5521401,0.012582325
45000,0.56977624,0.65653884,65.23472,-1.4001864,3.1530715e-05,1.6724907973730296,202.0,1.6724907993339002,0.360769908875227,118.09366035461426,3.727496,0.20276885,0.07980704,0.3504332,1.3549932,0.44113615,0.53584284,0.0126032075
45500,0.22315462,0.19007881,66.88919,-1.4247978,2.838797e-05,-2.0284222637783387,252.0,-2.028422231785953,0.4699023365974426,193.11284255981445,5.739138,0.12920578,0.07872019,0.29056752,1.1736286,0.40431032,0.5722331,0.01258067
46000,0.23299155,0.79415655,56.336063,-1.4446014,2.5491636e-05,-2.0785999022846227,696.0,-2.0785998729988933,1.4807491088286042,293.49125576019287,2.918978,0.17246056,0.09718871,0.34132683,0.9604208,0.35347852,0.6628716,0.012497952
46500,0.5124961,0.825942,63.35812,-1.4686805,2.2470753e-05,1.5355111670924089,135.0,1.5355111884418875,0.39812458818778396,132.5717794895172,9.695652,0.20093441,0.1443685,0.37842205,1.4248538,0.4815651,0.5252968,0.012542215
47000,0.3278692,0.8728549,62.92239,-1.491962,1.931503e-05,0.509514372664853,185.0,0.5095143619303902,0.8318068633476893,138.5433546702067,1.8198713,0.105298795,0.2118371,0.24571188,1.3186985,0.45156136,0.5375393,0.012465405
47500,0.21644802,0.70824844,68.039246,-1.5138865,1.6396889e-05,1.4641302067684592,403.0,1.4641301725059748,1.4923604279756546,376.2240180969238,2.6585734,0.11422466,0.15312731,0.15922645,1.3571672,0.47617054,0.5329989,0.012493467
48000,0.096757814,0.5924075,61.9638,-1.5314189,1.34783595e-05,-2.07682212448708,681.0,None,None,None,5.470532,0.15382512,0.117538705,0.21957257,0.9009123,0.3321888,0.6622278,0.012446286
48500,0.62087303,1.1331924,61.010536,-1.5515367,1.0427526e-05,1.58737191320688,222.5,0.36597389200081426,1.233549142877261,266.7871370315552,20.470642,0.1191774,0.13167389,0.15623496,1.577835,0.4811791,0.5759335,0.0124530075
49000,0.51221514,0.97284,63.979343,-1.5741512,7.367702e-06,1.7413902937987586,80.0,1.7413902822881937,0.18128480607022843,60.17015584309896,7.2901835,0.07867959,0.09885055,0.28087944,1.5181288,0.49840742,0.5019609,0.012409043
49500,0.4323505,0.7171951,67.23152,-1.5932803,4.5049937e-06,1.6812325321843673,253.0,1.6812325571663678,0.47536311857402325,215.05762147903442,1.3888841,0.07231973,0.1374125,0.13610712,1.4160285,0.47620612,0.5011314,0.01237695
50000,0.4400858,0.7506244,64.98892,-1.6114794,1.6253916e-06,1.4799526600363606,376.0,1.2023706575855613,2.0953847095370293,418.27016162872314,2.8145168,0.08581706,0.20920382,0.20483048,1.0931224,0.4008191,0.5888335,0.012384134
